player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Will Harris,76.0,225.0,1984-08-28,2012-08-13,R,R,harrw002,
,Ken Giles,74.0,205.0,1990-09-20,2014-06-12,R,R,gilek001,
,Jesse Chavez,74.0,175.0,1983-08-21,2008-08-27,R,R,chavj001,
,Yusmeiro Petit,72.0,230.0,1984-11-22,2006-05-14,R,R,petiy001,
,Jose Alvarez,71.0,180.0,1989-05-06,2013-06-09,L,L,alvaj003,
,Keynan Middleton,74.0,185.0,1993-09-12,2017-05-05,R,R,middk001,
,Bud Norris,72.0,225.0,1985-03-02,2009-07-29,R,R,norrb001,
,Blake Parker,75.0,225.0,1985-06-19,2012-05-17,R,R,parkb001,
,J.C. Ramirez,76.0,250.0,1988-08-16,2013-06-23,R,R,ramij002,
,Vance Worley,74.0,230.0,1987-09-25,2010-07-24,R,R,worlv001,
,Matt Shoemaker,74.0,225.0,1986-09-27,2013-09-20,R,R,shoem001,
,Mike Morin,76.0,220.0,1991-05-03,2014-04-30,R,R,morim002,
,Deolis Guerra,77.0,245.0,1989-04-17,2015-06-27,R,R,guerd001,
,David Hernandez,75.0,215.0,1985-05-13,2009-05-28,R,R,hernd002,
,Jeremy Hellickson,73.0,185.0,1987-04-08,2010-08-02,R,R,hellj001,
,Joely Rodriguez,73.0,200.0,1991-11-14,2016-09-11,L,L,rodrj004,
,Mark Leiter,72.0,195.0,1991-03-13,2017-04-28,R,R,leitm002,
,Vincent Velasquez,75.0,205.0,1992-06-07,2015-06-10,R,R,velav001,
,Luis Garcia,74.0,215.0,1987-01-30,2013-07-10,R,R,garcl005,
,Edubray Ramos,72.0,160.0,1992-12-19,2016-06-24,R,R,ramoe002,
,Hector Neris,74.0,175.0,1989-06-14,2014-08-05,R,R,nerih001,
,Aaron Nola,73.0,195.0,1993-06-04,2015-07-21,R,R,nolaa001,
,Ricardo Pinto,72.0,165.0,1994-01-20,2017-05-31,R,R,pintr002,
,Jeanmar Gomez,75.0,170.0,1988-02-10,2010-07-18,R,R,gomej002,
,Pat Neshek,75.0,205.0,1980-09-04,2006-07-07,B,R,neshp001,
,Joaquin Benoit,75.0,205.0,1977-07-26,2001-08-08,R,R,benoj001,
,Zack Greinke,74.0,190.0,1983-10-21,2004-05-22,R,R,greiz001,
,Jeff Locke,73.0,215.0,1987-11-20,2011-09-10,L,L,lockj001,
,Andrew Chafin,74.0,220.0,1990-06-17,2014-08-13,R,L,chafa001,
,Archie Bradley,76.0,230.0,1992-08-10,2015-04-11,R,R,brada001,
,Fernando Rodney,71.0,170.0,1977-03-18,2002-05-04,R,R,rodnf001,
,Patrick Corbin,74.0,185.0,1989-07-19,2012-04-30,L,L,corbp001,
,Jorge de la Rosa,73.0,190.0,1981-04-05,2004-08-14,L,L,delaj001,
,Tom Wilhelmsen,78.0,230.0,1983-12-16,2011-04-03,R,R,wilht001,
,Randall Delgado,75.0,200.0,1990-02-09,2011-06-17,R,R,delgr001,
,T.J. McFarland,75.0,220.0,1989-06-08,2013-04-06,L,L,mcfat001,
,J.J. Hoover,75.0,230.0,1987-08-13,2012-04-25,R,R,hoovj002,
,Braden Shipley,73.0,190.0,1992-02-22,2016-07-25,R,R,shipb001,
,Jharel Cotton,71.0,195.0,1992-01-19,2016-09-07,R,R,cottj001,
,Josh Smith,74.0,220.0,1987-08-07,2015-06-23,R,R,smitj004,
,Zach Neal,75.0,220.0,1988-11-09,2016-05-11,R,R,nealz001,
,Daniel Gossett,74.0,185.0,1992-11-13,2017-06-14,R,R,gossd001,
,Daniel Coulombe,70.0,185.0,1989-10-26,2014-09-16,L,L,could001,
,John Axford,77.0,195.0,1983-04-01,2009-09-15,R,R,axfoj001,
,Liam Hendriks,73.0,190.0,1989-02-10,2011-09-06,R,R,hendl001,
,Drew Steckenrider,77.0,215.0,1991-01-10,2017-05-24,R,R,stecd001,
,Tanner Roark,74.0,220.0,1986-10-05,2013-08-07,R,R,roart001,
,Matt Grace,75.0,205.0,1988-12-14,2015-04-22,L,L,gracm003,
,Oliver Perez,75.0,160.0,1981-08-15,2002-06-16,L,L,pereo002,
,Jacob Turner,77.0,210.0,1991-05-21,2011-07-30,R,R,turnj002,
,Enny Romero,75.0,165.0,1991-01-24,2013-09-22,R,L,romee002,
,Gio Gonzalez,71.0,185.0,1985-09-19,2008-08-06,R,L,gonzg003,
,Blake Treinen,77.0,215.0,1988-06-30,2014-04-12,R,R,treib001,
,Matt Albers,72.0,205.0,1983-01-20,2006-07-25,L,R,albem001,
,Max Scherzer,75.0,215.0,1984-07-27,2008-04-29,R,R,schem001,
,Jake Arrieta,76.0,225.0,1986-03-06,2010-06-10,R,R,arrij001,
,Brian Duensing,71.0,195.0,1983-02-22,2009-04-10,L,L,duenb001,
,Felix Pena,74.0,185.0,1990-02-25,2016-08-19,R,R,penaf002,
,John Lackey,78.0,200.0,1978-10-23,2002-06-24,R,R,lackj001,
,Justin Grimm,75.0,195.0,1988-08-16,2012-06-16,R,R,grimj002,
,Jon Lester,74.0,190.0,1984-01-07,2006-06-10,L,L,lestj001,
,Carl Edwards,75.0,170.0,1991-09-03,2015-09-07,R,R,edwac001,
,Wade Davis,77.0,220.0,1985-09-07,2009-09-06,R,R,daviw001,
,Mike Montgomery,76.0,200.0,1989-07-01,2015-06-02,L,L,montm002,
,Pedro Strop,72.0,160.0,1985-06-13,2009-08-28,R,R,strop001,
,Hector Rondon,75.0,180.0,1988-02-26,2013-04-03,R,R,rondh001,
,Paul Sewald,75.0,205.0,1990-05-26,2017-04-08,R,R,sewap001,
,Neil Ramirez,76.0,190.0,1989-05-25,2014-04-25,R,R,ramin001,
,Erik Goeddel,75.0,190.0,1988-12-20,2014-09-01,R,R,goede001,
,Steven Matz,74.0,200.0,1991-05-29,2015-06-28,R,L,matzs001,
,Chasen Bradford,73.0,225.0,1989-08-05,2017-06-25,R,R,bradc002,
