player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Jose Osuna,75.0,240.0,1992-12-12,2017-04-18,R,R,osunj001,
,Josh Bell,74.0,245.0,1992-08-14,2016-07-08,B,R,bellj005,
,Gift Ngoepe,68.0,200.0,1990-01-18,2017-04-26,R,R,ngoeg001,
,Jameson Taillon,77.0,240.0,1991-11-18,2016-06-08,R,R,tailj001,
,Martin Prado,73.0,170.0,1983-10-27,2006-04-23,R,R,pradm001,
,Adeiny Hechavarria,71.0,180.0,1989-04-15,2012-08-04,R,R,hecha001,
,Alen Hanson,71.0,180.0,1992-10-22,2016-05-16,B,R,hansa001,
,Johnny Barbato,73.0,235.0,1992-07-11,2016-04-05,R,R,barbj001,
,John Jaso,74.0,205.0,1983-09-19,2008-09-06,L,R,jasoj001,
,Phil Gosselin,73.0,190.0,1988-10-03,2013-08-16,R,R,gossp001,
,Wade LeBlanc,75.0,200.0,1984-08-07,2008-09-03,L,L,leblw001,
,Ivan Nova,76.0,210.0,1987-01-12,2010-05-13,R,R,novai001,
,Danny Ortiz,71.0,190.0,1990-01-05,2017-04-29,L,L,ortid002,
,Chris Stewart,76.0,205.0,1982-02-19,2006-09-06,R,R,stewc001,
,Chad Kuhl,75.0,215.0,1992-09-10,2016-06-26,R,R,kuhlc001,
,Trevor Williams,75.0,230.0,1992-04-25,2016-09-07,R,R,willt002,
,Juan Nicasio,75.0,200.0,1986-08-31,2011-05-28,R,R,nicaj001,
,Felipe Rivero,74.0,200.0,1991-07-05,2015-04-17,L,L,rivef001,
,Daniel Hudson,76.0,220.0,1987-03-09,2009-09-04,R,R,hudsd001,
,John Bormann,72.0,205.0,1993-04-04,2017-04-30,R,R,bormj001,
,Peter Bourjos,73.0,180.0,1987-03-31,2010-08-03,R,R,bourp001,
,Steven Souza,76.0,225.0,1989-04-24,2014-04-13,R,R,souzs001,
,Corey Dickerson,73.0,205.0,1989-05-22,2013-06-22,L,R,dickc002,
,Rickie Weeks,72.0,195.0,1982-09-13,2003-09-15,R,R,weekr001,
,Brad Miller,74.0,185.0,1989-10-18,2013-06-28,L,R,millb002,
,Tim Beckham,72.0,190.0,1990-01-27,2013-09-19,R,R,beckt001,
,Derek Norris,72.0,210.0,1989-02-14,2012-06-21,R,R,norrd001,
,Daniel Robertson,73.0,205.0,1994-03-24,2017-04-04,R,R,robed004,
,Jake Odorizzi,74.0,185.0,1990-03-27,2012-09-23,R,R,odorj001,
,Danny Farquhar,71.0,180.0,1987-02-17,2011-09-13,R,R,farqd001,
,Logan Morrison,75.0,235.0,1987-08-25,2010-07-27,L,L,morrl001,
,Kevin Kiermaier,73.0,200.0,1990-04-22,2013-09-30,L,R,kierk001,
,Jumbo Diaz,76.0,315.0,1984-02-27,2014-06-20,R,R,diazj005,
,Chase Whitley,75.0,215.0,1989-06-14,2014-05-15,R,R,whitc001,
,Shane Peterson,72.0,210.0,1988-02-11,2013-04-16,L,L,petes002,
,Alex Colome,74.0,185.0,1988-12-31,2013-05-30,R,R,coloa001,
,Alex Cobb,74.0,195.0,1987-10-07,2011-05-01,R,R,cobba001,
,Colby Rasmus,74.0,195.0,1986-08-11,2009-04-07,L,L,rasmc001,
,Erasmo Ramirez,71.0,205.0,1990-05-02,2012-04-09,R,R,ramie004,
,Kolten Wong,69.0,185.0,1990-10-10,2013-08-16,L,R,wongk001,
,Randal Grichuk,73.0,195.0,1991-08-13,2014-04-28,R,R,gricr001,
,Matt Carpenter,75.0,200.0,1985-11-26,2011-06-04,L,R,carpm002,
,Jedd Gyorko,70.0,210.0,1988-09-23,2013-04-01,R,R,gyorj001,
,Yadier Molina,71.0,185.0,1982-07-13,2004-06-03,R,R,moliy001,
,Aledmys Diaz,73.0,195.0,1990-08-01,2016-04-05,R,R,diaza003,
,Tommy Pham,73.0,175.0,1988-03-08,2014-09-09,R,R,phamt001,
,Magneuris Sierra,71.0,160.0,1996-04-07,2017-05-07,L,L,sierm002,
,Carlos Martinez,72.0,185.0,1991-09-21,2013-05-03,R,R,martc006,
,Brian Ellington,76.0,195.0,1990-08-04,2015-08-03,R,R,ellib001,
,Matt Adams,75.0,230.0,1988-08-31,2012-05-20,L,R,adamm002,
,Miguel Socolovich,73.0,190.0,1986-07-24,2012-07-14,R,R,socom001,
,Greg Garcia,72.0,190.0,1989-08-08,2014-04-28,L,R,garcg002,
,Adam Wainwright,79.0,205.0,1981-08-30,2005-09-11,R,R,waina001,
,Brett Cecil,74.0,225.0,1986-07-02,2009-05-05,R,L,cecib001,
,Matt Bowman,72.0,175.0,1991-05-31,2016-04-06,R,R,bowmm001,
,Trevor Rosenthal,74.0,190.0,1990-05-29,2012-07-18,R,R,roset001,
,Dexter Fowler,76.0,175.0,1986-03-22,2008-09-02,B,R,fowld001,
,Seung Hwan Oh,70.0,205.0,1982-07-15,2016-04-03,R,R,oh--s001,
,Tomas Telis,68.0,200.0,1991-06-18,2014-08-25,B,R,telit001,
,Lance Lynn,77.0,250.0,1987-05-12,2011-06-02,R,R,lynnl001,
,Steve Lombardozzi,72.0,170.0,1988-09-20,2011-09-06,B,R,lombs002,
,Sam Tuivailala,75.0,195.0,1992-10-19,2014-09-09,R,R,tuivs001,
,Jonathan Broxton,76.0,275.0,1984-06-16,2005-07-29,R,R,broxj001,
,Kevin Siegrist,77.0,215.0,1989-07-20,2013-06-06,L,L,siegk001,
,Matt Kemp,74.0,230.0,1984-09-23,2006-05-28,R,R,kempm001,
,Mike Aviles,69.0,195.0,1981-03-13,2008-05-29,R,R,avilm001,
,Danny Santana,71.0,175.0,1990-11-07,2014-05-05,B,R,santd001,
,Julio Teheran,74.0,175.0,1991-01-27,2011-05-07,R,R,tehej001,
,Kurt Suzuki,72.0,205.0,1983-10-04,2007-06-12,R,R,suzuk001,
